id,position,row1,row2,row3,row4,row5
checkbox,1,yes,,,,
star,2,star,unstar,,,
status_dot,3,normal,success,normal,normal,normal
status_label,4,"sucess, check, active","warning, controller paus, suspended","error, controller record, disable","sucess, check, active","warning, controller paus, suspended"
image,5,https://raw.githubusercontent.com/TenHime/hoiio-portal/gh-pages/source/img/app_1.png,https://raw.githubusercontent.com/TenHime/hoiio-portal/gh-pages/source/img/app_11.png,https://raw.githubusercontent.com/TenHime/hoiio-portal/gh-pages/source/img/app_5.png,https://raw.githubusercontent.com/TenHime/hoiio-portal/gh-pages/source/img/app_6.png,https://raw.githubusercontent.com/TenHime/hoiio-portal/gh-pages/source/img/app_8.png
user_avatar,6,http://marcus8712.github.io/standards/source/img/square-image.jpg,http://marcus8712.github.io/standards/source/img/square-image.jpg,http://marcus8712.github.io/standards/source/img/square-image.jpg,http://marcus8712.github.io/standards/source/img/square-image.jpg,http://marcus8712.github.io/standards/source/img/square-image.jpg
user_firstname,6,Steve,Tuan,Cash,Huyen,Uyen
user_lastname,6,Van,Vo,Hoang,Xu,Hime
text_title,7,General Manager,Team Lead,Senior Engineers,Admin Manager,UX Designer
text_phone,8,+65 97507182,+65 91271034,+65 96445229,+65 93675730,+65 83927433
text_email,9,stevevan@hoiio.com,tuan@hoiio.com,cash@hoiio.com,xu@hoiio.com,hime@hoiio.com
text_lastaccess,10,"03 Mar 2016, 11:47 AM","26 Feb 2016, 08:18 AM","01 Feb 2016, 11:42 AM","04 Mar 2016, 06:50 PM","10 Dec 2015, 03:19 PM "
type,11,"error, Missed","success, Received","success, Received","success, Received","error, Missed"
progress,,,,,,
actions,,,,,,
,,,,,,
,,,,,,
